Site Block,SiteID LookUp,Description,Ramp/Mainline,SH,RS,RP,Direction,Number of Lane(s),Normal Total Capacity,Mon_Thu,Fri,Sat,Sun,Seasonal,Normal Capacity per Lane,TMP Capacity,Ramp reroute,Detour Plan Ref,DataSource
SH1_Northbound_between_Pokeno_Off-Ramp_and_Ridge_Road_27,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Northbound_between_Ridge_Road_and_Bombay_On-Ramp_28,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Northbound_between_Beaver_Road_and_Bombay_On-Ramp_29,01N20472,SH1 Beaver Rd On Ramp to Mill Rd Off Ramp NB,Mainline,1N,461,11.51,NB,2,3600,1352.85,1589.75,1520.6,2602.6,0,1800,1400,01N40473,SH1_29,Website Oct-18
SH1_Northbound_between_Mill_Road_and_Ramarama_On-Ramp_30,01N20468,SH1 Mill Rd On Ramp to Ramarama Off Ramp NB,Mainline,1N,461,7.54,NB,2,3600,1574.1,1662.5,1592.2,2761.45,0,1800,1400,01N40471,SH1_30,Website Year2014
SH1_Northbound_between_Ramarama_Off-Ramp_and_Drury_On-Ramp_31,01N20463,SH1 Ramarama On Ramp to Drury Off Ramp NB,Mainline,1N,461,2.24,NB,2,3600,1752,1940.6,1815,2572,0,1800,1400,01N40465,SH1_31,Website Year2014
SH1_Northbound_between_Drury_Off-Ramp_and_Papakura_On-Ramp_32,01N20459,SH1 Drury On Ramp to Papakura Off Ramp NB,Mainline,1N,448,11.4,NB,2,3600,2536.819092,2932.110107,3163.78836,2870.676384,0,1800,1400,01N40462,SH1_32,Any2018-scaled
SH1_Northbound_between_Papakura_Off-Ramp_and_Takanini_On-Ramp_33,01N20456,SH1 Papakura On Ramp to Takanini Off Ramp NB,Mainline,1N,448,7.83,NB,2,3800,3638,3584.65,3194.25,3480.4,0,1900,1400,01N40458,SH1_33,Website Year2014
SH1_Northbound_between_Takanini_Off-Ramp_and_Hill_Road_34,01N20450,SH1 Hill Rd On Ramp to Gt South Rd / Southwestern Off Ramp NB,Mainline,1N,448,1.74,NB,3,5700,5531.130572,5336.025608,5086.893772,5087.819972,0,1900,1400,01N40454,SH1_34,Continuous Year2014
SH1_Northbound_between_Takanini_Off-Ramp_and_Redoubt_Road_35,01N20450,SH1 Hill Rd On Ramp to Gt South Rd / Southwestern Off Ramp NB,Mainline,1N,448,1.74,NB,3,5700,5531.130572,5336.025608,5086.893772,5087.819972,0,1900,1400,01N40454,SH1_34,Continuous Year2014
SH1_Northbound_between_Redoubt_Road_and_Te_Irirangi_Drive_36,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
