Ref,SH,Plan Number,Detour Distance (km),Detour Speed (km/hr),Normal Distance ,Normal Speed ,Urban Road Class,Minimum # lane for Urban Road,Rural Road Directional Split,Rural Road Roadway Width,Terrain Type,% of Heavy Vehicle,Other Manual Capacity Input?,Detour Travel Time (min/veh),Normal Travel Time (min/veh),Rural Road Directional Adjustement,Rural Road Roadway Width Adjustement,Rural Road % Heavy Vehicle Adjustement,Urban Road Capacity,Rural Road Capacity,Detour Capacity (veh/hr),Detour Delay (min/veh),,,(for Input tab),,(From detour),,,
SH1S_40,SH1S,40,4.5,40,3.7,105,Class I,1,,,,,,6.75,2.114285714,-,-,-,1200,-,1200,4.635714286,http://g.co/maps/3dfrk,"1 lane along Princes, DIFFERENT from detour plan",1040441.29,01N40441,"Jasmine Lau:
closure between Princes St On-Ramp and Mt Wellington Hway Off-Ramp NBD",,,
SH1S_41,SH1S,41,3.5,40,2.4,105,Class I,1,,,,,,5.25,1.371428571,-,-,-,1200,-,1200,3.878571429,http://g.co/maps/f4rnk,1 lane along Sylvia Park,1040438.89,01N40438,"Jasmine Lau:
closure between Mt Wellington Hway On-Ramp and SEART On-Ramp NBD",,,
SH1S_42,SH1S,42,5.8,40,4.2,105,Class I,1,,,,,,8.7,2.4,-,-,-,1200,-,1200,6.3,http://g.co/maps/3kkhp,1 lane along Sylvia Park,1040438.89,01N40438,"Jasmine Lau:
closure between SEART On-Ramp and EP Hway Off-Ramp",,,
SH1S_43,SH1S,43,3.3,40,3.1,105,Class I,1.5,,,,,,4.95,1.771428571,-,-,-,1800,-,1800,3.178571429,http://g.co/maps/3w7rg,2 lane along detour but 1 lane off/on Ramps,1040435.54,01N40435,"Jasmine Lau:
closure between EP Hwy On-Ramp and Green Lane East Off-Ramp NBD",,,
SH1S_43A,SH1S,43A,3.9,40,3.5,105,Class I,1,,,,,,5.85,2,-,-,-,1200,-,1200,3.85,http://g.co/maps/3vjqh,1 lane on Ramp,1040433.3,01N40433,"Yi-Min Huang:
Greenlane IC NBD",,,
SH1S_44,SH1S,44,3.9,40,3.5,105,Class I,1,,,,,,5.85,2,-,-,-,1200,-,1200,3.85,http://g.co/maps/3vjqh,1 lane along GSR,1040433.3,01N40433,"Jasmine Lau:
 closure between Green Lane East On-Ramp and Market Rd Off-Ramp NBD",,,
SH1S_45,SH1S,45,2.6,40,2.3,105,Class I,1,,,,,,3.9,1.314285714,-,-,-,1200,-,1200,2.585714286,http://g.co/maps/um7p3,1 lane along GSR,1040432.02,01N40432,"Jasmine Lau:
closure between Market Rd Off-Ramp and Gillies Ave On-Ramp NBD",,,
SH1S_45A,SH1S,45A,3.4,40,2.3,105,Class I,1,,,,,,5.1,1.314285714,-,-,-,1200,-,1200,3.785714286,http://g.co/maps/n9w7b,1 lane along Market,1040432.02,01N40432,"Jasmine Lau:
NB: ONLY for closure between Market Rd Off-Ramp and Gillies Ave On-Ramp NBD and SBD!!",,,
SH1S_46,SH1S,46,7.2,60,5,105,Class I,1,,,,,,7.2,2.857142857,-,-,-,1200,-,1200,4.342857143,http://g.co/maps/qn7y6,1 lane along GSR DIFFERENT from detour plan,1040432.02,01N40432,"Jasmine Lau:
closure between Gillies Ave On-Ramp and Khyber Pass Rd Off-Ramp NBD",,,
SH1S_47,SH1S,47,4.2,60,2.4,105,Class I,1,,,,,,4.2,1.371428571,-,-,-,1200,-,1200,2.828571429,http://g.co/maps/jzy73,1 lane along Grafton DIFFERENT from detour plan,1040428.96,01N40428,"Jasmine Lau:
closure between Khyber Pass Rd Off-Ramp and Symonds St/Wellesley St Off-Ramp NBD",,,
SH1S_48,SH1S,48,4.8,60,1.9,105,Class I,1,,,,,,4.8,1.085714286,-,-,-,1200,-,1200,3.714285714,http://g.co/maps/7rtey,1 lane along Symonds DIFFERENT from detour plan,1040428.96,01N40428,"Jasmine Lau:
closure between Symonds St/Wellesley St Off-Ramp and Nelson St Off-Ramp NBD",,,
SH1S_48A,SH1S,48A,8.3,80,1.9,105,Class I,1,,,,,,6.225,1.085714286,-,-,-,1200,-,1200,5.139285714,http://goo.gl/maps/ey3vn,1 lane along Symonds DIFFERENT from detour plan,16060006.04,01660006,"Jasmine Lau:
closure between Symonds St/Wellesley St Off-Ramp and Nelson St Off-Ramp NBD",,,
